ticker,name
X:MOBILEUSD,Helium Mobile
X:MOBUSD,MobileCoin
X:MODEUSD,Mode Network
X:MOGUSD,Mog Coin
X:MONAUSD,Monavale
X:MOODENGUSD,Moo Deng
X:MOONUSD,Dog on Moon
X:MORPHOUSD,MORPHO
X:MOVEUSD,Movement
X:MOVRUSD,Moonriver
X:MPCUSD,Partisia Blockchain
X:MPLUSD,Maple
X:MSOLUSD,Marinade Staked Sol
X:MTLUSD,Metal
X:MULTIUSD,Multichain
X:MUSDUSD,mStable USD
X:MUSEUSD,Muse Dao
X:MVUSD,GensoKishi Metaverse
X:MXCUSD,Moonchain
X:MXNTUSD,Tether MXNt
X:NANOUSD,Nano
X:NCTUSD,PolySwarm
X:NEARUSD,NEAR Protocol
X:NEIROUSD,NEIRO
X:NEONUSD,Neon
X:NEOUSD,Neo
X:NESTUSD,Nest Protocol
X:NEXOUSD,Nexo
X:NKNUSD,NKN
X:NMRUSD,Numeraire
X:NODLUSD,Nodle Network
X:NOSUSD,Nosana
X:NOTUSD,Notcoin
X:NTRNUSD,Neutron
X:NUUSD,NuCypher
X:NXRAUSD,NXRA
X:NYMUSD,Nym
X:OCEANUSD,Ocean Protocol
X:OGNUSD,Origin Protocol
X:OMGUSD,OmiseGO
X:OMNIUSD,Omni Network
X:OMNUSD,OMN
X:ONDOUSD,Ondo
X:OOKIUSD,Ooki Protocol
X:OPUSD,Optimism
X:OPXUSD,OPX Finance
X:ORCAUSD,Orca
X:ORNUSD,Orion Protocol
X:OSMOUSD,Osmosis
X:OXTUSD,Orchid
X:OXYUSD,Oxygen
X:PARSIQUSD,Parsiq
X:PASUSD,Pascal
X:PAXGUSD,PAX Gold
X:PAXUSD,Paxos Standard Token
X:PDAUSD,PlayDapp
X:PENDLEUSD,Pendle
X:PEPEUSD,Pepe
X:PERPUSD,Perpetual Protocol
X:PHAUSD,PHALA
X:PIRATEUSD,Pirate Nation
X:PLANETSUSD,PlanetWatch
X:PLAUSD,PlayDapp
X:PLUUSD,Pluton
X:PNGUSD,Pangolin
X:PNKUSD,Kleros
X:PNUTUSD,Peanut The Squirrel
X:POLISUSD,Polis
X:POLSUSD,Polkastarter
X:POLUSD,POL (ex-MATIC)
X:POLYUSD,Polymath
X:PONDUSD,Marlin
X:PONKEUSD,PONKE
X:POPCATUSD,Popcat
X:PORTALUSD,Portal
X:POWRUSD,Powerledger
X:PRCLUSD,Parcl
X:PRIMEUSD,Prime
X:PROUSD,Propy
X:PRQUSD,PARSIQ
X:PSTAKEUSD,pSTAKE Finance
X:PUFFERUSD,Puffer
X:PUNDIXUSD,Pundi X (New)
X:PYRUSD,Vulcan Forged PYR
X:PYTHUSD,Pyth Network
X:PYUSDUSD,PayPal USD
X:QIUSD,BENQI
X:QNTUSD,Quant
X:QRDOUSD,Qredo
X:QSPUSD,Quantstamp
X:QTFUSD,Quantfury Token
X:QTMUSD,Quantreum
X:QTUMUSD,Quantum
X:QUICKUSD,QuickSwap
X:RADUSD,Radworks
X:RAIUSD,Rai Reflex Index
X:RAREUSD,SuperRare
X:RARIUSD,Rarible
X:RAYUSD,Raydium
X:RBCUSD,Ruby Currency
X:RBNUSD,Ribbon Finance
X:REEFUSD,Reef
X:RENDERUSD,Render
X:RENUSD,Ren
X:REPUSD,Augur
X:REPV2USD,Augur v2
X:REQUSD,Request
X:REZUSD,Renzo
X:RGTUSD,Rari Governance Token
X:RLCUSD,iExec
X:RLUSDUSD,RLUSD
X:RLYUSD,Rally
X:RNDRUSD,Render Token
X:RONINUSD,Ronin
X:ROOKUSD,Rook
X:ROSEUSD,Oasis Network
X:RPLUSD,Rocket Pool
X:RRTUSD,Recovery Right
X:RSRUSD,RSR
X:RUNEUSD,Rune
X:SAFEUSD,Safe
X:SAGAUSD,Saga
X:SAMOUSD,Samoyedcoin
X:SANDUSD,The Sandbox
X:SBRUSD,Saber
X:SCROLLUSD,SCROLL
X:SCRTUSD,Secret
X:SCUSD,Siacoin
X:SDNUSD,Shiden Network
X:SDUSD,Stader
X:SEAMUSD,Seamless
X:SEIUSD,Sei
X:SGBUSD,Songbird
X:SHDWUSD,Shadow
X:SHIBUSD,Shiba Inu
X:SHPINGUSD,Shping
X:SKLUSD,SKALE Network
X:SKYUSD,Sky
X:SLPUSD,Smooth Love Potion
X:SMTUSD,Swarm Markets
X:SNTUSD,Status
X:SNXUSD,Synthetix
X:SOLUSD,Solana
X:SPAUSD,Sperax
X:SPECUSD,Spectral
X:SPELLUSD,Spell Token
X:SPXUSD,SPX
X:SRMUSD,Serum
X:STEPUSD,Step Finance
X:STGUSD,Stargate Finance
X:STORJUSD,Storj
X:STRDUSD,Stride
X:STRKUSD,Starknet
X:STXUSD,Stox
X:SUIUSD,Sui
X:SUKUUSD,SUKU
X:SUNUSD,Sun Token
X:SUPERUSD,SuperVerse
X:SUSHIUSD,Sushi
X:SWEATUSD,SWEAT
X:SWELLUSD,Swell
X:SWFTCUSD,SwiftCoin
X:SYLOUSD,Sylo
X:SYNUSD,Synapse
X:SYRUPUSD,Syrup
X:TAIKOUSD,Taiko
X:TAOUSD,Bittensor
X:TBTCUSD,tBTC
X:TEERUSD,Integritee
X:THETAUSD,Theta
X:TIAUSD,Celestia
X:TIMEUSD,Chrono.tech
X:TITAN1USD,TITAN1
X:TITAN2USD,TITAN2
X:TLMUSD,Alien Worlds
X:TLOSUSD,Telos
